split,metric,n_runs,mean,std,ci95
val,auroc,3,0.9981666067,0.000235867546,0.0002669092548
val,auprc,3,0.9981287714,0.0002741644346,0.0003102462638
val,fpr_at_val_threshold,3,0.009733939001,0,0
val,tpr_at_val_threshold,3,0.9696869489,0.003804108009,0.004304753454
val,asr_at_threshold,3,0.03031305115,0.003804108009,0.004304753454
test_main,auroc,3,0.9958089867,0.0004215269737,0.000477002675
test_main,auprc,3,0.9995485037,4.892473103e-05,5.536354499e-05
test_main,fpr_at_val_threshold,3,0.04024997352,0.008904925138,0.01007687141
test_main,tpr_at_val_threshold,3,0.9924570645,0.005460654489,0.006179312265
test_main,asr_at_threshold,3,0.007542935511,0.005460654489,0.006179312265
test_jbb,auroc,3,0.9100872672,0.01068784359,0.01209443357
test_jbb,auprc,3,0.8977943509,0.02066551685,0.02338523377
test_jbb,fpr_at_val_threshold,3,0.6088435374,0.1027188359,0.1162373052
test_jbb,tpr_at_val_threshold,3,0.9865319865,0.005831820901,0.006599326599
test_jbb,asr_at_threshold,3,0.01346801347,0.005831820901,0.006599326599
test_main_unicode,auroc,3,0.9945967109,0.0005033421136,0.0005695852214
test_main_unicode,auprc,3,0.9994103234,6.881203572e-05,7.78681488e-05
test_main_unicode,fpr_at_val_threshold,3,0.049676941,0.01071635621,0.01212669864
test_main_unicode,tpr_at_val_threshold,3,0.9908674376,0.006200782014,0.007016845403
test_main_unicode,asr_at_threshold,3,0.009132562416,0.006200782014,0.007016845403
test_jbb_unicode,auroc,3,0.8851783137,0.02071814704,0.02344479043
test_jbb_unicode,auprc,3,0.8662232993,0.04624527911,0.05233145972
test_jbb_unicode,fpr_at_val_threshold,3,0.656462585,0.09258950741,0.104774891
test_jbb_unicode,tpr_at_val_threshold,3,0.9764309764,0.01542954779,0.017460177
test_jbb_unicode,asr_at_threshold,3,0.02356902357,0.01542954779,0.017460177
test_main_adv2,auroc,3,0.7693306396,0.1264857609,0.1431321126
test_main_adv2,auprc,3,0.9605833068,0.02149371691,0.02432243035
test_main_adv2,fpr_at_val_threshold,3,0.6103167037,0.1882338057,0.2130066032
test_main_adv2,tpr_at_val_threshold,3,0.9924778439,0.01081548719,0.01223887591
test_main_adv2,asr_at_threshold,3,0.007522156074,0.01081548719,0.01223887591
test_jbb_adv2,auroc,3,0.6211090497,0.01089198383,0.01232544
test_jbb_adv2,auprc,3,0.6128950452,0.01040193608,0.01177089877
test_jbb_adv2,fpr_at_val_threshold,3,0.6904761905,0.4128977117,0.4672377458
test_jbb_adv2,tpr_at_val_threshold,3,0.7441077441,0.3487896973,0.3946926983
test_jbb_adv2,asr_at_threshold,3,0.2558922559,0.3487896973,0.3946926983
test_main_rewrite,auroc,3,0.993418569,0.00132033635,0.001494101232
test_main_rewrite,auprc,3,0.9992495878,0.0001676014157,0.000189658856
test_main_rewrite,fpr_at_val_threshold,3,0.06058680225,0.004716755445,0.005337511251
test_main_rewrite,tpr_at_val_threshold,3,0.9946908539,0.002611025312,0.002954653287
test_main_rewrite,asr_at_threshold,3,0.005309146069,0.002611025312,0.002954653287
test_jbb_rewrite,auroc,3,0.8958633959,0.01818338795,0.0205764405
test_jbb_rewrite,auprc,3,0.8733399418,0.04614703607,0.05222028725
test_jbb_rewrite,fpr_at_val_threshold,3,0.612244898,0.07142857143,0.08082903769
test_jbb_rewrite,tpr_at_val_threshold,3,0.9831649832,0.005831820901,0.006599326599
test_jbb_rewrite,asr_at_threshold,3,0.01683501684,0.005831820901,0.006599326599
