split,delta,threshold,tp,fp,tn,fn,tpr,fpr,precision,asr
val,-0.05,0.6840390086,2938,33,3049,86,0.9715608466,0.0107073329,0.9888926287,0.02843915344
val,-0.02,0.7140390086,2935,30,3052,89,0.9705687831,0.009733939001,0.9898819562,0.02943121693
val,0,0.7340390086,2932,29,3053,92,0.9695767196,0.009409474367,0.9902060115,0.03042328042
val,0.02,0.7540390086,2929,25,3057,95,0.9685846561,0.008111615834,0.9915368991,0.03141534392
val,0.05,0.7840390086,2926,23,3059,98,0.9675925926,0.007462686567,0.992200746,0.03240740741
test_main,-0.05,0.6840390086,31684,102,3045,399,0.9875635072,0.03241182078,0.9967910401,0.01243649285
test_main,-0.02,0.7140390086,31675,101,3046,408,0.9872829848,0.03209405783,0.9968215005,0.01271701524
test_main,0,0.7340390086,31664,98,3049,419,0.9869401241,0.03114076899,0.996914552,0.01305987595
test_main,0.02,0.7540390086,31659,97,3050,424,0.9867842783,0.03082300604,0.9969454591,0.01321572172
test_main,0.05,0.7840390086,31645,97,3050,438,0.9863479101,0.03082300604,0.9969441119,0.01365208989
test_jbb,-0.05,0.6840390086,97,61,37,2,0.9797979798,0.6224489796,0.6139240506,0.0202020202
test_jbb,-0.02,0.7140390086,97,59,39,2,0.9797979798,0.6020408163,0.6217948718,0.0202020202
test_jbb,0,0.7340390086,97,57,41,2,0.9797979798,0.5816326531,0.6298701299,0.0202020202
test_jbb,0.02,0.7540390086,97,57,41,2,0.9797979798,0.5816326531,0.6298701299,0.0202020202
test_jbb,0.05,0.7840390086,97,56,42,2,0.9797979798,0.5714285714,0.6339869281,0.0202020202
test_main_adv2,-0.05,0.6840390086,31983,2045,1102,100,0.9968830845,0.6498252304,0.9399024333,0.0031169155
test_main_adv2,-0.02,0.7140390086,31979,2025,1122,104,0.9967584079,0.6434699714,0.9404481826,0.00324159212
test_main_adv2,0,0.7340390086,31976,2015,1132,107,0.9966649004,0.6402923419,0.9407196022,0.003335099585
test_main_adv2,0.02,0.7540390086,31971,1999,1148,112,0.9965090546,0.6352081347,0.9411539594,0.00349094536
test_main_adv2,0.05,0.7840390086,31966,1974,1173,117,0.9963532089,0.627264061,0.9418385386,0.003646791135
test_jbb_adv2,-0.05,0.6840390086,90,83,15,9,0.9090909091,0.8469387755,0.5202312139,0.09090909091
test_jbb_adv2,-0.02,0.7140390086,89,83,15,10,0.898989899,0.8469387755,0.5174418605,0.101010101
test_jbb_adv2,0,0.7340390086,89,83,15,10,0.898989899,0.8469387755,0.5174418605,0.101010101
test_jbb_adv2,0.02,0.7540390086,88,83,15,11,0.8888888889,0.8469387755,0.514619883,0.1111111111
test_jbb_adv2,0.05,0.7840390086,85,82,16,14,0.8585858586,0.8367346939,0.5089820359,0.1414141414
